unit_id,dtime,fetch_time,bytes_total,bytes_sec
24734365,2021-01-29 21:50:43,4039330,4226780,1046406
24734365,2021-01-30 03:51:26,30003617,0,0
24734365,2021-01-30 05:51:42,6909622,4220808,610859
24734365,2021-01-30 09:50:43,2962341,4222961,1425548
24734365,2021-01-30 17:50:53,12891531,4224051,327660
24734365,2021-01-30 19:50:59,15316747,4223760,275760
24734365,2021-01-30 21:50:41,3170963,4223760,1332011
24734365,2021-01-30 23:50:41,3092995,4223650,1365553
24734365,2021-01-31 01:54:16,3197364,4223270,1320859
24734365,2021-01-31 03:50:45,2952959,4223127,1430133
24734365,2021-01-31 07:50:42,3222042,4221977,1310342
24734365,2021-01-31 09:50:41,3191880,4223155,1323093
24734365,2021-01-31 11:50:42,2982636,4222005,1415528
24734365,2021-01-31 13:50:41,3097340,4222107,1363139
24734365,2021-01-31 15:51:55,2976223,4221896,1418541
24734365,2021-01-31 17:50:46,3011089,4221294,1401916
24734365,2021-01-31 19:51:25,4418419,4221550,955443
24734365,2021-01-31 21:50:41,3043496,4220804,1386827
24734365,2021-01-31 23:52:05,3106181,4222390,1359350
